MLBAMID,Name,Bats,Throws,Position,DOB_Month,DOB_Day,DOB_Year,MLB org.,FG_30,FG_FV,MLB_30,MLB_FV,FG100,MLB100
516853,Wilking Rodríguez,R,R,P,3,2,1990,St. Louis Cardinals,,,,,,
529017,Alexander Cornielle,R,R,P,8,22,2001,Milwaukee Brewers,,,,,,
537996,Angel Camacho,L,L,P,1,13,2004,Pittsburgh Pirates,,,,,,
572383,Brian Moran,L,L,P,9,30,1988,Atlanta Braves,,,,,,
612797,Erick Leal,R,R,P,3,17,1995,New York Yankees,,,,,,
621008,Alex De Goti,R,R,SS,8,19,1994,Texas Rangers,,,,,,
622338,Jesús Liranzo,R,R,P,3,7,1995,New York Yankees,,,,,,
625510,Erick Mejia,S,R,P,11,9,1994,Washington Nationals,41,37,,,,
627392,Daniel Missaki,R,R,P,4,9,1996,Chicago Cubs,,,,,,
640902,Jhonny Pereda,R,R,C,4,18,1996,Miami Marlins,,,,,,
641468,Gavin Collins,R,R,C,7,17,1995,St. Louis Cardinals,,,,,,
641521,Edwin Díaz,R,R,SS,8,25,1995,Houston Astros,,,,,,
641555,J.C. Escarra,L,R,C,4,24,1995,New York Yankees,,,,,,
641682,Ryan Hendrix,R,R,P,12,16,1994,Kansas City Royals,,,,,,
641962,CD Pelham,R,L,P,2,21,1995,Los Angeles Angels,,,,,,
642016,Daniel Robert,L,R,P,8,30,1994,Texas Rangers,24,37,,,,
642020,Chuckie Robinson,R,R,C,12,14,1994,Chicago White Sox,,,,,,
642215,Weston Wilson,R,R,LF,9,11,1994,Philadelphia Phillies,,,,,,
642216,Allan Winans,R,R,P,8,10,1995,Atlanta Braves,,,,,,
642376,Jefry Yan,L,L,P,8,17,1996,New York Mets,,,,,,
642575,Gerson Moreno,R,R,P,9,10,1995,Oakland Athletics,,,,,,
647378,Andy Yerzy,L,R,C,7,5,1998,Milwaukee Brewers,,,,,,
649143,Lachlan Wells,L,L,P,2,27,1997,Philadelphia Phillies,,,,,,
650960,Daniel Duarte,R,R,P,12,4,1996,Minnesota Twins,,,,,,
651016,Matt Lloyd,L,R,OF,3,17,1996,St. Louis Cardinals,,,,,,
656212,Charlie Barnes,L,L,P,10,1,1995,Cincinnati Reds,,,,,,
656368,Brad Deppermann,R,R,P,6,15,1996,Chicago Cubs,,,,,,
656449,Jake Gatewood,R,R,1B,9,25,1995,New York Yankees,,,,,,
656627,Mark Kolozsvary,R,R,C,9,4,1995,Boston Red Sox,,,,,,
656671,Josh Maciejewski,R,L,P,8,14,1995,New York Yankees,,,,,,
656786,Parker Mushinski,L,L,P,11,22,1995,Houston Astros,,,,,,
656848,Michael Petersen,R,R,P,5,16,1994,Los Angeles Dodgers,,,,,,
656924,Ryder Ryan,R,R,P,5,11,1995,Pittsburgh Pirates,,,,,,
657116,Zach Willeman,R,R,P,3,27,1996,Cincinnati Reds,,,,,,
657424,Matt Gage,L,L,P,2,11,1993,New York Mets,,,,,,
657675,Rudy Martin,L,L,RF,1,31,1996,Kansas City Royals,,,,,,
658792,Aaron Wilkerson,R,R,P,5,24,1989,St. Louis Cardinals,,,,,,
659381,Justin King,L,L,P,12,19,1997,Milwaukee Brewers,,,,,,
659389,Carter Loewen,R,R,P,9,28,1998,San Diego Padres,,,,,,
660710,Rodolfo Durán,R,R,C,2,19,1998,Kansas City Royals,,,,,,
660781,Domingo Robles,L,L,P,4,29,1998,Oakland Athletics,,,,,,
661733,Max Burt,R,R,2B,8,28,1996,New York Yankees,,,,,,
662914,Ryan Shreve,R,R,P,6,23,1998,St. Louis Cardinals,,,,,,
663408,Dylan Hecht,R,R,P,3,29,1994,San Francisco Giants,,,,,,
663494,Bryan Torres,L,R,2B,7,2,1997,St. Louis Cardinals,,,,,,
663537,Jon Olsen,R,R,P,5,13,1997,New York Yankees,,,,,,
663584,Hayden Senger,R,R,C,4,3,1997,New York Mets,,,,,,
663604,Brandon Lockridge,R,R,LF,3,14,1997,New York Yankees,,,,,,
663657,Garrett Davila,L,L,P,1,17,1997,Seattle Mariners,,,,,,
663671,Nic Enright,R,R,P,1,8,1997,Cleveland Guardians,,,,,,
663681,Jarod Bayless,R,R,P,12,29,1996,Seattle Mariners,,,,,,
663731,Connor Kaiser,R,R,SS,11,20,1996,Colorado Rockies,,,,,,
663767,Chase Shugart,L,R,P,10,24,1996,Boston Red Sox,,,,,,
663795,Justin Hagenman,R,R,P,10,7,1996,Boston Red Sox,15,40,,,,
663901,Michael Flynn,R,R,P,8,7,1996,Tampa Bay Rays,,,,,,
663944,Cody Roberts,R,R,C,6,16,1996,Philadelphia Phillies,,,,,,
663967,César Salazar,L,R,C,3,15,1996,Houston Astros,,,,,,
663968,Jake Mangum,S,L,LF,3,8,1996,Tampa Bay Rays,,,,,,
663971,Blair Calvo,R,R,P,2,27,1996,Detroit Tigers,,,,,,
663977,Jake Higginbotham,L,L,P,1,11,1996,Detroit Tigers,,,,,,
664346,Carlos Guzman,R,R,P,5,16,1998,New York Mets,,,,,,
664351,Luis Contreras,R,R,P,4,29,1996,Houston Astros,,,,,,
664770,Nathan Lukes,L,R,RF,7,12,1994,Toronto Blue Jays,,,,,,
664991,Grant Wolfram,L,L,P,12,12,1996,Texas Rangers,,,,,,
665048,Hobie Harris,R,R,P,6,23,1993,Boston Red Sox,,,,,,
665178,Randy Labaut,L,L,P,10,1,1996,Cleveland Guardians,,,,,,
665660,Elvis Alvarado,R,R,P,2,23,1999,Miami Marlins,,,,,,
665734,Angel Felipe,R,R,P,8,30,1997,Los Angeles Angels,,,,,,
665782,Luis De Los Santos,R,R,3B,6,9,1998,Toronto Blue Jays,,,,,,
665846,Jesús Bastidas,R,R,SS,9,14,1998,Houston Astros,,,,,,
665856,Jair Camargo,R,R,C,7,1,1999,Minnesota Twins,28,40,,,,
665861,Sebastián  Rivero,R,R,C,11,16,1998,Atlanta Braves,,,,,,
665878,Janser Lara,R,R,P,8,10,1996,Texas Rangers,51,35,,,,
665896,José Marte,R,R,P,6,14,1996,Los Angeles Angels,,,,,,
665959,Abdiel Mendoza,R,R,P,9,19,1998,Toronto Blue Jays,,,,,,
665966,Carlos Narváez,R,R,C,11,26,1998,New York Yankees,,,,,,
665993,Cristhian Tortosa,L,L,P,10,30,1998,Philadelphia Phillies,,,,,,
665996,Oddanier Mosqueda,L,L,P,5,6,1999,New York Yankees,,,,,,
